Date,Last Px,P/C
11/7/18,13.12,
11/6/18,13.18,2.1956
11/5/18,13.3,0.8371
11/2/18,13.31,0.6289
11/1/18,13.46,1.7868
10/31/18,13.79,0.6765
10/30/18,14.03,0.4885
10/29/18,14.11,0.4266
10/26/18,14.33,0.8873
10/25/18,14.21,1.5302
10/24/18,14.05,0.6727
10/23/18,14.04,1.6292
10/22/18,14.74,1.2562
10/19/18,14.72,0.4298
10/18/18,14.56,0.9178
10/17/18,14.82,0.7104
10/16/18,15.19,0.3445
10/15/18,15.13,0.3858
10/12/18,15.12,0.8128
10/11/18,14.95,1.507
10/10/18,15.38,2.1763
10/9/18,15.82,1.6297
10/8/18,15.68,1.2805
10/5/18,15.69,0.9354
10/4/18,15.74,1.7256
10/3/18,16.08,1.1011
10/2/18,15.87,1.085
10/1/18,15.95,0.7759
9/28/18,15.52,0.6977
9/27/18,15.26,0.9876
9/26/18,15.11,0.8353
9/25/18,15.27,0.446
9/24/18,15.25,0.3917
9/21/18,14.96,0.5173
9/20/18,14.8,0.2654
9/19/18,14.94,0.497
9/18/18,14.69,0.8375
9/17/18,14.47,0.839
9/14/18,14.5,0.196
9/13/18,14.49,0.7605
9/12/18,14.78,0.7003
9/11/18,14.6,0.2821
9/10/18,14.21,0.6705
9/7/18,14.28,0.4253
9/6/18,14.3,2.0359
9/5/18,14.49,0.9263
9/4/18,14.58,0.8367
8/31/18,14.71,0.5449
8/30/18,14.75,0.4569
8/29/18,14.66,0.8259
8/28/18,14.43,0.6224
8/27/18,14.5,1.2109
8/24/18,14.43,0.4378
8/23/18,14.27,1.2603
8/22/18,14.27,0.3981
8/21/18,13.83,0.7863
8/20/18,13.76,0.5808
8/17/18,13.69,0.9126
8/16/18,13.63,1.3093
8/15/18,13.51,0.7039
8/14/18,13.99,0.9805
8/13/18,14.01,0.9515
8/10/18,14.08,0.9567
8/9/18,13.88,1.0795
8/8/18,13.9,0.8836
8/7/18,14.36,0.7705
8/6/18,14.31,0.6052
8/3/18,14.27,1.3258
8/2/18,14.36,0.5162
8/1/18,14.09,0.5011
7/31/18,14.28,1.1664
7/30/18,14.54,0.5322
7/27/18,14.32,0.5205
7/26/18,14.47,1.5423
7/25/18,14.42,0.2021
7/24/18,14.23,0.6702
7/23/18,14.09,0.6473
7/20/18,14.15,0.8076
7/19/18,14.13,0.4192
7/18/18,14.1,0.8197
7/17/18,13.95,0.6639
7/16/18,13.94,0.7122
7/13/18,14.47,0.5608
7/12/18,14.39,0.5659
7/11/18,14.31,1.0153
7/10/18,15.07,1.1016
7/9/18,15.03,1.4344
7/6/18,14.96,1.7154
7/5/18,14.78,1.179
7/3/18,14.92,1.4804
7/2/18,14.96,1.7479
6/29/18,15.06,0.5666
6/28/18,14.86,1.2034
6/27/18,14.65,1.0945
6/26/18,14.27,0.6201
6/25/18,13.77,0.973
6/22/18,14.02,0.5046
6/21/18,13.31,1.2378
6/20/18,13.28,0.7857
6/19/18,13.14,0.6978
6/18/18,13.29,0.5593
6/15/18,13.05,1.7276
6/14/18,13.52,1.7534
6/13/18,13.47,1.1976
6/12/18,13.4,0.532
6/11/18,13.36,0.4358
6/8/18,13.27,0.8203
6/7/18,13.35,0.36
6/6/18,13.16,0.8615
6/5/18,13.22,1.8067
6/4/18,13.12,0.5668
6/1/18,13.25,0.6723
5/31/18,13.55,0.5354
5/30/18,13.83,0.7888
5/29/18,13.51,1.033
5/25/18,13.68,1.3348
5/24/18,14.29,1.8984
5/23/18,14.51,2.9005
5/22/18,14.56,1.2788
5/21/18,14.67,2.0342
5/18/18,14.43,0.3672
5/17/18,14.49,0.4945
5/16/18,14.46,1.0623
5/15/18,14.4,0.727
5/14/18,14.38,0.6305
5/11/18,14.25,0.3647
5/10/18,14.41,0.8026
5/9/18,14.37,1.0987
5/8/18,14.06,1.303
5/7/18,14.1,2.1934
5/4/18,14.09,0.2841
5/3/18,13.82,1.622
5/2/18,13.67,1.0555
5/1/18,13.61,1.0664
4/30/18,13.8,0.2253
4/27/18,13.73,0.9332
4/26/18,13.77,0.8628
4/25/18,13.72,1.5151
4/24/18,13.68,0.6687
4/23/18,13.92,0.689
4/20/18,13.75,0.956
4/19/18,13.77,1.7907
4/18/18,13.88,1.3
4/17/18,13.41,0.4771
4/16/18,13.38,1.4659
4/13/18,13.55,0.7309
4/12/18,13.52,2.1181
4/11/18,13.45,0.4468
4/10/18,13.25,1.3144
4/9/18,12.77,0.5062
4/6/18,12.51,0.9791
4/5/18,12.83,0.7015
4/4/18,12.82,1.6824
4/3/18,12.81,2.5807
4/2/18,12.74,0.7627
3/29/18,13.09,1.494
3/28/18,13.04,3.9609
3/27/18,13.08,1.6818
3/26/18,13.21,0.5996
3/23/18,13.28,0.5176
3/22/18,12.95,1.5421
3/21/18,13.18,0.7431
3/20/18,12.81,0.6136
3/19/18,12.55,2.3013
3/16/18,12.55,0.9282
3/15/18,12.34,1.1267
3/14/18,12.28,1.9179
3/13/18,12.24,1.696
3/12/18,12.37,0.9758
3/9/18,12.47,1.3501
3/8/18,12.15,1.8694
3/7/18,12.35,2.359
3/6/18,12.57,0.2146
3/5/18,12.59,0.9453
3/2/18,12.37,2.6238
3/1/18,12.35,2.9194
2/28/18,12.37,2.5225
2/27/18,12.65,1.0271
2/26/18,12.86,1.1604
2/23/18,12.77,0.3811
2/22/18,12.59,2.9253
2/21/18,12.29,1.0073
2/20/18,12.39,0.7009
2/16/18,12.38,1.0957
2/15/18,12.33,0.5267
2/14/18,12.18,0.7999
2/13/18,11.87,2.6257
2/12/18,11.89,1.1239
2/9/18,11.86,9.5451
2/8/18,12.09,4.423
2/7/18,12.37,1.3655
2/6/18,12.7,1.3234
2/5/18,12.77,2.8073
2/2/18,13.04,1.0493
2/1/18,13.24,1.9427
1/31/18,12.98,0.9382
1/30/18,12.9,1.2414
1/29/18,13.11,1.0026
1/26/18,13.24,0.7693
1/25/18,13.06,0.6167
1/24/18,13.22,0.3102
1/23/18,12.97,1.9627
1/22/18,12.78,0.4325
1/19/18,12.72,1.1167
1/18/18,12.76,2.3922
1/17/18,12.78,5.2961
1/16/18,12.76,0.8777
1/12/18,12.87,1.0714
1/11/18,12.7,0.8784
1/10/18,12.68,1.0968
1/9/18,12.57,1.198
1/8/18,12.38,0.9851
1/5/18,12.31,3.1758
1/4/18,12.37,2.4443
1/3/18,12.34,0.2436
1/2/18,12.07,0.4766
12/29/17,12.01,1.0203
12/28/17,11.97,0.526
12/27/17,11.92,2.1682
12/26/17,11.95,0.8587
12/22/17,11.66,0.9354
12/21/17,11.64,0.9882
12/20/17,11.61,0.827
12/19/17,11.51,0.9574
12/18/17,11.44,0.4858
12/15/17,11.46,1.7844
12/14/17,11.43,1.4941
12/13/17,11.33,0.4469
12/12/17,11.44,1.2449
12/11/17,11.6,0.8027
12/8/17,11.49,1.7375
12/7/17,11.33,1.7543
12/6/17,11.2,1.5699
12/5/17,11.54,0.7526
12/4/17,11.49,0.9487
12/1/17,11.67,0.9858
11/30/17,11.47,1.4281
11/29/17,11.47,2.9131
11/28/17,11.58,1.4046
11/27/17,11.59,3.8948
11/24/17,11.79,1.6087
11/22/17,11.6,0.8493
11/21/17,11.4,1.5017
11/20/17,11.28,2.0571
11/17/17,11.35,1.3242
11/16/17,11.07,1.4414
11/15/17,11.09,1.6923
11/14/17,11.13,1.4197
11/13/17,11.38,1.0366
11/10/17,11.42,0.7123
11/9/17,11.46,0.7673
11/8/17,11.41,2.0214
11/7/17,11.49,1.5684
11/6/17,11.51,0.5131
11/3/17,11.18,0.7748
11/2/17,10.99,0.8711
11/1/17,10.9,1.0837
10/31/17,10.93,1.5347
10/30/17,10.87,2.7831
10/27/17,10.84,0.6283
10/26/17,10.57,0.3838
10/25/17,10.48,0.4142
10/24/17,10.54,2.29
10/23/17,10.42,0.7984
10/20/17,10.43,0.8
10/19/17,10.35,1.1904
10/18/17,10.48,1.3416
10/17/17,10.49,1.197
10/16/17,10.46,2.5047
10/13/17,10.37,1.708
10/12/17,10.23,1.1839
10/11/17,10.36,0.6098
10/10/17,10.28,0.7966
10/9/17,10,0.7052
10/6/17,9.97,1.5221
10/5/17,10.25,1.1142
10/4/17,10.08,0.747
10/3/17,10.18,0.5765
10/2/17,10.21,2.8794
9/29/17,10.43,2.1655
9/28/17,10.43,0.5416
9/27/17,10.52,0.6818
9/26/17,10.49,0.4381
9/25/17,10.55,1.802
9/22/17,10.24,0.3671
9/21/17,10.25,1.4458
9/20/17,10.24,2.1843
9/19/17,10.11,1.7736
9/18/17,10.17,1.1626
9/15/17,10.2,1.5286
9/14/17,10.13,0.7064
9/13/17,10.07,1.4203
9/12/17,9.87,0.7323
9/11/17,9.82,0.5555
9/8/17,9.73,0.7248
9/7/17,10.03,2.2016
9/6/17,10.04,1.0127
9/5/17,9.92,0.59
9/1/17,9.67,1.2431
8/31/17,9.63,0.866
8/30/17,9.38,0.5485
8/29/17,9.46,3.3144
8/28/17,9.53,0.6967
8/25/17,9.75,2.2404
8/24/17,9.71,0.6167
8/23/17,9.88,4.7289
8/22/17,9.77,1.6401
8/21/17,9.71,0.6782
8/18/17,9.97,0.6727
8/17/17,9.62,1.1315
8/16/17,9.57,2.0368
8/15/17,9.75,2.3415
8/14/17,9.72,1.5216
8/11/17,9.99,1.0023
8/10/17,9.91,1.4422
8/9/17,10.15,1.0559
8/8/17,10.06,1.2463
8/7/17,10.1,1.0253
8/4/17,10.13,2.0374
8/3/17,10.02,2.2055
8/2/17,10.14,5.1862
8/1/17,10.09,2.3867
7/31/17,10.28,1.1935
7/28/17,10.17,0.9957
7/27/17,10.06,0.67
7/26/17,9.96,0.9303
7/25/17,9.81,2.4121
7/24/17,9.5,0.4164
7/21/17,9.34,1.5699
7/20/17,9.61,0.6991
7/19/17,9.69,1.0729
7/18/17,9.54,1.9646
7/17/17,9.45,1.2226
7/14/17,9.59,0.3441
7/13/17,9.47,0.3548
7/12/17,9.33,0.4956
7/11/17,9.27,1.7359
7/10/17,9.13,0.611
7/7/17,9.1,3.6764
7/6/17,9.31,2.4196
7/5/17,9.25,1.3069
7/3/17,9.62,0.7377
6/30/17,9.5,1.053
6/29/17,9.21,2.1685
6/28/17,9.2,0.9252
6/27/17,9.1,0.5084
6/26/17,8.93,1.498
6/23/17,8.86,0.8183
6/22/17,8.78,0.5747
6/21/17,8.71,1.2752
6/20/17,8.95,2.8833
6/19/17,9.12,0.9238
6/16/17,9.24,2.0088
6/15/17,9.18,1.5496
6/14/17,9.23,1.8752
6/13/17,9.6,0.5039
6/12/17,9.52,0.7732
6/9/17,9.49,2.2157
6/8/17,9.43,1.9507
6/7/17,9.46,2.0054
6/6/17,9.97,2.3923
6/5/17,9.8,1.8102
6/2/17,9.86,1.0248
6/1/17,9.91,1.0296
5/31/17,9.96,1.9652
5/30/17,10.24,1.2056
5/26/17,10.28,4.7556
5/25/17,10.04,1.4759
5/24/17,10.6,0.4332
5/23/17,10.64,0.8615
5/22/17,10.54,0.6421
5/19/17,10.48,0.4943
5/18/17,10.26,0.5214
5/17/17,10.19,1.7469
5/16/17,10.11,1.7021
5/15/17,10.17,1.1157
5/12/17,9.95,0.9171
5/11/17,9.94,0.5045
5/10/17,9.86,0.4604
5/9/17,9.57,0.8621
5/8/17,9.67,0.6103
5/5/17,9.66,0.6551
5/4/17,9.46,1.6041
5/3/17,9.93,2.651
5/2/17,9.92,0.9211
5/1/17,10.15,0.9174
4/28/17,10.24,1.671
4/27/17,10.24,1.0378
4/26/17,10.26,0.3912
4/25/17,10.36,0.8283
4/24/17,10.25,0.7522
4/21/17,10.32,2.4811
4/20/17,10.54,0.965
4/19/17,10.62,1.8581
4/18/17,11.04,1.8991
4/17/17,11.06,1.2095
4/13/17,11.13,2.1034
4/12/17,11.11,1.5183
4/11/17,11.17,1.5406
4/10/17,11.14,0.2509
4/7/17,10.96,0.7291
4/6/17,10.86,0.7123
4/5/17,10.68,0.732
4/4/17,10.71,3.7252
4/3/17,10.55,1.4225
3/31/17,10.64,0.5854
3/30/17,10.57,0.601
3/29/17,10.37,0.5679
3/28/17,10.15,0.3731
3/27/17,10.04,2.6512
3/24/17,10.09,1.8238
3/23/17,10.01,1.0352
3/22/17,10.12,1.5435
3/21/17,10.11,2.1893
3/20/17,10.2755,1.0687
3/17/17,10.33,0.4158
3/16/17,10.36,1.0339
3/15/17,10.38,0.4522
3/14/17,10.19,1.8057
3/13/17,10.28,0.8834
3/10/17,10.29,0.9
3/9/17,10.53,1.3814
3/8/17,10.67,2.388
3/7/17,11.27,0.4876
3/6/17,11.28,1.396
3/3/17,11.29,1.8471
3/2/17,11.17,1.9996
3/1/17,11.4,1.9608
2/28/17,11.45,2.8169
2/27/17,11.47,0.7617
2/24/17,11.46,1.1127
2/23/17,11.53,1.2258
2/22/17,11.36,2.2501
2/21/17,11.54,0.5357
2/17/17,11.39,0.4739
2/16/17,11.41,0.9529
2/15/17,11.36,0.7544
2/14/17,11.38,0.9368
2/13/17,11.32,1.3881
2/10/17,11.5,0.4202
2/9/17,11.35,1.4698
2/8/17,11.23,4.3736
2/7/17,11.19,0.918
2/6/17,11.38,1.0021
2/3/17,11.54,1.4044
2/2/17,11.51,0.5779
2/1/17,11.48,2.6097
1/31/17,11.32,0.8627
1/30/17,11.28,1.0197
1/27/17,11.4,0.5733
1/26/17,11.53,0.6887
1/25/17,11.31,0.4743
1/24/17,11.37,0.9666
1/23/17,11.32,0.7489
1/20/17,11.39,1.2047
1/19/17,11.17,1.1586
1/18/17,11.16,0.7494
1/17/17,11.43,1.1923
1/13/17,11.41,1.1631
1/12/17,11.54,0.3699
1/11/17,11.37,1.0529
1/10/17,11.07,1.6723
1/9/17,11.31,1.4393
1/6/17,11.68,0.8412
1/5/17,11.7,0.8739
1/4/17,11.58,0.7197
1/3/17,11.44,0.7903
12/30/16,11.72,1.6608
12/29/16,11.72,1.3495
12/28/16,11.75,1.1484
12/27/16,11.73,1.3706
12/23/16,11.56,1.3889
12/22/16,11.46,1.226
12/21/16,11.44,1.7027
12/20/16,11.62,1.6192
12/19/16,11.5,1.0072
12/16/16,11.55,0.3468
12/15/16,11.36,1.4339
12/14/16,11.32,1.2151
12/13/16,11.73,1.2106
12/12/16,11.62,0.7464
12/9/16,11.44,0.4014
12/8/16,11.31,1.1719
12/7/16,11.09,1.9173
12/6/16,11.29,1.0977
12/5/16,11.35,0.9452
12/2/16,11.48,0.6436
12/1/16,11.33,0.545
11/30/16,10.93,0.9359
11/29/16,10.06,0.9147
11/28/16,10.44,1.5197
11/25/16,10.33,0.867
11/23/16,10.67,1.164
11/22/16,10.63,0.482
11/21/16,10.77,0.5354
11/18/16,10.32,0.8701
11/17/16,10.13,1.0004
11/16/16,10.23,0.4839
11/15/16,10.34,1.9578
11/14/16,9.87,0.8787
11/11/16,9.77,3.3187
11/10/16,10.04,1.0296
11/9/16,10.28,0.8623
11/8/16,10.1,1.0638
11/7/16,10.16,0.7639
11/4/16,9.98,0.9006
11/3/16,10.08,0.7951
11/2/16,10.28,1.9258
11/1/16,10.57,2.0974
10/31/16,10.53,1.1016
10/28/16,11.01,0.7295
10/27/16,11.21,2.7723
10/26/16,11.09,2.0131
10/25/16,11.24,0.9407
10/24/16,11.43,1.9871
10/21/16,11.48,1.1173
10/20/16,11.43,0.9595
10/19/16,11.66,1.0054
10/18/16,11.45,1.6655
10/17/16,11.37,5.906
10/14/16,11.44,1.4703
10/13/16,11.49,1.3077
10/12/16,11.43,0.9361
10/11/16,11.58,1.344
10/10/16,11.67,0.5225
10/7/16,11.33,0.66
10/6/16,11.51,0.8539
10/5/16,11.35,1.0043
10/4/16,11.09,1.4783
10/3/16,11.1,1.0484
9/30/16,10.93,1.1034
9/29/16,10.87,0.481
9/28/16,10.65,0.7143
9/27/16,10.15,1.2893
9/26/16,10.43,0.1985
9/23/16,10.19,0.7661
9/22/16,10.53,0.1139
9/21/16,10.4,0.5138
